domain,problem_file,planner,solved,timed_out,runtime_s,makespan,valid
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p05.pddl,PRW,True,False,15.8076,231,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p06.pddl,HSP,False,True,35.3093,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p06.pddl,PRW,False,True,35.3028,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p07.pddl,HSP,False,True,35.1468,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p07.pddl,PRW,False,True,35.1416,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p08.pddl,HSP,False,True,35.3920,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p08.pddl,PRW,False,True,35.3862,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p09.pddl,HSP,False,True,35.2663,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p09.pddl,PRW,False,True,35.3072,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p10.pddl,HSP,False,True,35.2293,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p10.pddl,PRW,False,True,35.2231,,
